language,week,visits
cs-cz,38,44535
cs-cz,39,48055
cs-cz,40,50776
cs-cz,41,52516
cs-cz,42,54645
cs-cz,43,55137
cs-cz,44,53245
cs-cz,45,58397
cs-cz,46,56831
cs-cz,47,59351
cs-cz,48,56062
cs-cz,49,53575
cs-cz,50,50043
cs-cz,51,39809
cs-cz,52,26004
cy,10,216
cy,11,477
cy,12,779
cy,13,809
cy,14,662
cy,15,703
cy,16,341
cy,17,693
cy,18,814
cy,19,733
cy,20,815
cy,21,476
cy,22,102
cy,23,436
cy,24,432
cy,25,316
cy,26,323
cy,27,220
cy,28,109
cy,31,113
cy,34,207
cy,35,210
cy,37,223
cy,38,335
cy,39,218
cy,40,307
cy,41,338
cy,42,345
cy,43,496
cy,44,235
cy,45,758
cy,46,473
cy,47,605
cy,48,478
cy,49,449
cy,50,464
cy,51,221
da,1,834
da,2,1224
da,3,987
da,4,1118
da,5,1091
da,6,1114
da,7,1061
da,8,1255
da,9,1098
da,10,7052
da,11,9970
da,12,10418
da,13,10387
da,14,9942
da,15,9882
da,16,6255
da,17,9077
da,18,9413
da,19,10036
da,20,9274
da,21,10380
da,22,8993
da,23,8579
da,24,8832
da,25,8650
da,26,6886
da,27,6206
da,28,5588
da,29,5142
da,30,4917
da,31,5633
da,32,6560
da,33,7524
da,34,7267
da,35,7541
da,36,8154
da,37,8984
da,38,9247
da,39,9352
da,40,9386
da,41,8926
da,42,8140
da,43,9640
da,44,9569
da,45,9749
da,46,9034
da,47,9849
da,48,9619
da,49,9427
da,50,9726
da,51,8115
da,52,4056
da-dk,1,9720
da-dk,2,14134
da-dk,3,13358
da-dk,4,13254
da-dk,5,13534
da-dk,6,13825
da-dk,7,12303
da-dk,8,16974
da-dk,9,13878
da-dk,10,81827
da-dk,11,114860
da-dk,12,124399
da-dk,13,124234
da-dk,14,119223
da-dk,15,117832
da-dk,16,74740
da-dk,17,108417
da-dk,18,122323
da-dk,19,125100
da-dk,20,116533
da-dk,21,129286
da-dk,22,110805
da-dk,23,106705
da-dk,24,108094
da-dk,25,103914
da-dk,26,85022
da-dk,27,75686
da-dk,28,68244
da-dk,29,60806
da-dk,30,56902
da-dk,31,66649
da-dk,32,78701
da-dk,33,86769
da-dk,34,87710
da-dk,35,94548
da-dk,36,105277
da-dk,37,110951
da-dk,38,115002
da-dk,39,116823
da-dk,40,114690
da-dk,41,115321
da-dk,42,102486
da-dk,43,124045
da-dk,44,124255
da-dk,45,121981
da-dk,46,117094
da-dk,47,125755
da-dk,48,121908
da-dk,49,123532
da-dk,50,129785
da-dk,51,111264
da-dk,52,49587
de,1,11152
de,2,18949
de,3,19198
de,4,19465
de,5,18763
de,6,18129
de,7,18379
de,8,18707
de,9,16925
de,10,162669
de,11,236185
de,12,239247
de,13,237395
de,14,238691
de,15,241613
de,16,189938
de,17,205921
de,18,219381
de,19,251290
de,20,245584
de,21,237480
de,22,195237
de,23,220678
de,24,198260
de,25,204181
de,26,216793
de,27,217937
de,28,215397
de,29,206172
de,30,197158
de,31,196250
de,32,200834
de,33,196062
de,34,200712
de,35,201935
de,36,203590
de,37,205900
de,38,207494
de,39,209443
de,40,192384
de,41,222675
de,42,231474
de,43,232981
de,44,214140
de,45,242315
de,46,237129
de,47,245274
de,48,236574
de,49,232274
de,50,225209
de,51,189412
de,52,78275
de-at,1,2184
de-at,2,3410
de-at,3,3351
de-at,4,3428
de-at,5,3349
de-at,6,3347
de-at,7,3180
de-at,8,3482
de-at,9,3266
de-at,10,27261
de-at,11,37094
de-at,12,38600
de-at,13,38715
de-at,14,38354
de-at,15,39716
de-at,16,30590
de-at,17,33913
de-at,18,35814
de-at,19,38736
de-at,20,38294
de-at,21,35604
de-at,22,31195
de-at,23,32467
de-at,24,30555
de-at,25,30533
de-at,26,31142
de-at,27,29579
de-at,28,29250
de-at,29,27836
de-at,30,27495
de-at,31,27733
de-at,32,28125
de-at,33,24980
de-at,34,29158
de-at,35,29393
de-at,36,30365
de-at,37,31408
de-at,38,33599
de-at,39,34612
de-at,40,37830
de-at,41,39971
de-at,42,40792
de-at,43,38628
de-at,44,36621
de-at,45,40105
de-at,46,38703
de-at,47,40478
de-at,48,38391
de-at,49,37479
de-at,50,36928
de-at,51,30745
de-at,52,19902
de-ch,1,3363
de-ch,2,6119
de-ch,3,5765
de-ch,4,5691
de-ch,5,5895
de-ch,6,5755
de-ch,7,5755
de-ch,8,6156
de-ch,9,5878
de-ch,10,38020
de-ch,11,50875
de-ch,12,53645
de-ch,13,54800
de-ch,14,54544
de-ch,15,54701
de-ch,16,42953
de-ch,17,46249
de-ch,18,51040
de-ch,19,55374
de-ch,20,54774
de-ch,21,52934
de-ch,22,42725
de-ch,23,46786
de-ch,24,38763
de-ch,25,47604
de-ch,26,44429
de-ch,27,45405
de-ch,28,44708
de-ch,29,43123
de-ch,30,42637
de-ch,31,35149
de-ch,32,44214
de-ch,33,45600
de-ch,34,47600
de-ch,35,46756
de-ch,36,47512
de-ch,37,46364
de-ch,38,48837
de-ch,39,48958
de-ch,40,50398
de-ch,41,51779
de-ch,42,53272
de-ch,43,53917
de-ch,44,53658
de-ch,45,53802
de-ch,46,52802
